time_interval,location,co_occurrence_frequency
1715_1719,florida,3
1715_1719,frankfort,1
1715_1719,granada,3
1715_1719,hartford,6
1715_1719,honduras,2
1715_1719,kingston,1
1715_1719,mackenzie,2
1715_1719,madras,1
1715_1719,madura,1
1715_1719,maine,8
1715_1719,maryland,1
1715_1719,miami,1
1715_1719,mississippi,1
1715_1719,mobile,1
1715_1719,new england,4
1715_1719,new york,1
1715_1719,niger,1
1715_1719,ontario,1
1715_1719,silk,26
1715_1719,south carolina,1
1715_1719,virginia,2
1720_1724,alexandria,1
1720_1724,ambala,3
1720_1724,barbados,15
1720_1724,bengal,5
1720_1724,boston,12
1720_1724,calabar,1
1720_1724,cascades,1
1720_1724,cayes,4
1720_1724,ceylon,1
1720_1724,delhi,1
1720_1724,denver,1
1720_1724,ganges,1
1720_1724,grenada,1
1720_1724,guiana,1
1720_1724,honduras,1
1720_1724,hurling,1
1720_1724,indiana,1
1720_1724,kansas,1
1720_1724,kingston,1
1720_1724,mackenzie,1
1720_1724,maine,10
1720_1724,malacca,1
1720_1724,maryland,1
1720_1724,miami,3
1720_1724,mobile,3
1720_1724,new england,11
1720_1724,new york,4
1720_1724,newfoundland,1
1720_1724,quebec,1
1720_1724,rhode island,2
1720_1724,silk,17
1720_1724,st lucia,2
1720_1724,surat,5
1720_1724,tobago,1
1720_1724,tucson,1
1720_1724,virginia,4
1725_1729,acadia,1
1725_1729,alexandria,3
1725_1729,ambala,2
1725_1729,barbados,6
1725_1729,bengal,7
1725_1729,boston,4
1725_1729,cayes,1
1725_1729,ceylon,3
1725_1729,charlotte,1
1725_1729,connecticut,3
1725_1729,dallas,4
1725_1729,daman,2
1725_1729,delhi,4
1725_1729,ganges,3
1725_1729,grenada,1
1725_1729,hubli,1
1725_1729,indiana,1
1725_1729,louisiana,3
1725_1729,madras,1
1725_1729,maine,11
1725_1729,malacca,1
1725_1729,maryland,4
1725_1729,miami,2
1725_1729,mysore,1
1725_1729,new england,11
1725_1729,new haven,10
1725_1729,new york,8
1725_1729,newfoundland,5
1725_1729,regina,1
1725_1729,sacramento,1
1725_1729,san francisco,2
1725_1729,silk,24
1725_1729,south carolina,1
1725_1729,surat,5
1725_1729,texas,1
1725_1729,vermont,1
1725_1729,virginia,9
1730_1734,accra,2
1730_1734,austin,2
1730_1734,bahamas,1
1730_1734,barbados,25
1730_1734,bengal,14
1730_1734,boston,6
1730_1734,carrier,1
1730_1734,cayes,1
1730_1734,ceylon,1
1730_1734,charlotte,1
1730_1734,cleveland,1
1730_1734,dallas,8
1730_1734,delhi,2
1730_1734,edmonton,1
1730_1734,florida,2
1730_1734,ganges,1
1730_1734,honduras,9
1730_1734,hurling,1
1730_1734,illinois,1
1730_1734,indore,1
1730_1734,kingston,2
1730_1734,maine,28
1730_1734,malacca,2
1730_1734,maryland,1
1730_1734,miami,5
1730_1734,michigan,1
1730_1734,mobile,4
1730_1734,new england,6
1730_1734,new jersey,3
1730_1734,newfoundland,3
1730_1734,orissa,1
1730_1734,philadelphia,2
1730_1734,silk,38
1730_1734,south carolina,1
1730_1734,surat,7
1730_1734,trinidad,1
1730_1734,tucson,1
1730_1734,vermont,1
1730_1734,virginia,12
1735_1739,barbados,16
1735_1739,bengal,2
1735_1739,boston,4
1735_1739,carrier,1
1735_1739,cayes,3
1735_1739,delhi,1
1735_1739,denver,1
1735_1739,gambia,2
1735_1739,ganges,4
1735_1739,guiana,1
1735_1739,gwalior,1
1735_1739,halifax,1
1735_1739,hartford,1
1735_1739,idaho,1
1735_1739,kingston,1
1735_1739,madras,1
1735_1739,maine,11
1735_1739,maryland,24
1735_1739,montana,1
1735_1739,new england,65
1735_1739,new york,20
1735_1739,newfoundland,9
1735_1739,pennsylvania,10
1735_1739,philadelphia,1
1735_1739,raleigh,1
1735_1739,rhode island,1
1735_1739,silk,58
1735_1739,south carolina,2
1735_1739,sudbury,1
1735_1739,surat,3
1735_1739,virginia,28
1740_1744,alberta,1
1740_1744,atlanta,1
1740_1744,baltimore,1
1740_1744,barbados,25
1740_1744,bengal,1
1740_1744,bihar,1
1740_1744,boston,10
1740_1744,calicut,1
1740_1744,cayes,3
1740_1744,charlotte,1
1740_1744,chicago,1
1740_1744,connecticut,2
1740_1744,dallas,9
1740_1744,delhi,4
1740_1744,denver,2
1740_1744,dominica,1
1740_1744,florida,1
1740_1744,frankfort,1
1740_1744,ganges,3
1740_1744,granada,2
1740_1744,honduras,9
1740_1744,houston,1
1740_1744,idaho,1
1740_1744,illinois,2
1740_1744,indiana,1
1740_1744,kansas,1
1740_1744,kingston,2
1740_1744,madras,2
1740_1744,madura,1
1740_1744,maine,16
1740_1744,maryland,17
1740_1744,miami,3
1740_1744,new england,41
1740_1744,new haven,3
1740_1744,new york,27
1740_1744,newfoundland,17
1740_1744,niger,2
1740_1744,north carolina,1
1740_1744,ontario,1
1740_1744,pennsylvania,3
1740_1744,philadelphia,7
1740_1744,poona,1
1740_1744,raleigh,1
1740_1744,silk,35
1740_1744,south carolina,12
1740_1744,st lucia,1
1740_1744,tucson,1
1740_1744,virginia,39
1740_1744,yazoo,1
1745_1749,accra,1
1745_1749,ajmer,1
1745_1749,atlanta,2
1745_1749,austin,3
1745_1749,bahamas,1
1745_1749,baltimore,4
1745_1749,barbados,22
1745_1749,belize,1
1745_1749,boise,1
1745_1749,boston,11
1745_1749,cayes,3
1745_1749,charlotte,3
1745_1749,dallas,16
1745_1749,delhi,3
1745_1749,denver,1
1745_1749,dominica,1
1745_1749,edmonton,1
1745_1749,flathead,1
1745_1749,florida,10
1745_1749,ganges,2
1745_1749,grenada,1
1745_1749,halifax,1
1745_1749,honduras,10
1745_1749,hubli,1
1745_1749,illinois,1
1745_1749,indiana,1
1745_1749,indore,2
1745_1749,kansas,1
1745_1749,kingston,1
1745_1749,madras,2
1745_1749,maine,23
1745_1749,maryland,12
1745_1749,miami,4
1745_1749,mobile,2
1745_1749,molokai,1
1745_1749,new england,20
1745_1749,new york,45
1745_1749,newfoundland,6
1745_1749,niger,2
1745_1749,north carolina,3
1745_1749,nova scotia,1
1745_1749,ottawa,1
1745_1749,patna,5
1745_1749,philadelphia,36
1745_1749,pondicherry,4
1745_1749,quebec,1
1745_1749,regina,2
1745_1749,rhode island,3
1745_1749,silk,6
1745_1749,south carolina,26
1745_1749,st louis,1
1745_1749,st lucia,2
1745_1749,surat,2
1745_1749,texas,1
1745_1749,vermont,2
1745_1749,virginia,32
1750_1754,austin,3
1750_1754,barbados,24
1750_1754,boston,3
1750_1754,cayes,3
1750_1754,dallas,7
1750_1754,delhi,1
1750_1754,edmonton,1
1750_1754,florida,1
1750_1754,halifax,2
1750_1754,hartford,1
1750_1754,honduras,54
1750_1754,indiana,2
1750_1754,maine,10
1750_1754,mobile,3
1750_1754,new york,4
1750_1754,niger,1
1750_1754,nova scotia,1
1750_1754,pequot,1
1750_1754,philadelphia,1
1750_1754,silk,7
1750_1754,south carolina,5
1750_1754,surat,1
1750_1754,vermont,1
1750_1754,virginia,10
1755_1759,acadia,2
1755_1759,accra,1
1755_1759,acton,2
1755_1759,ahmadabad,2
1755_1759,alaska,2
1755_1759,alexandria,1
1755_1759,ambala,1
1755_1759,arizona,2
1755_1759,austin,2
1755_1759,baltimore,10
1755_1759,barbados,19
1755_1759,baroda,1
1755_1759,belize,1
1755_1759,boise,1
1755_1759,boston,20
1755_1759,carrier,4
1755_1759,cascades,2
1755_1759,cayes,7
1755_1759,cleveland,2
1755_1759,dallas,3
1755_1759,delaware,1
1755_1759,delhi,2
1755_1759,denver,2
1755_1759,dominica,1
1755_1759,edmonton,1
1755_1759,florida,1
1755_1759,frankfort,3
1755_1759,gambia,4
1755_1759,ganges,1
1755_1759,granada,3
1755_1759,gujarat,1
1755_1759,halifax,19
1755_1759,honduras,34
1755_1759,houston,1
1755_1759,hubli,1
1755_1759,hurling,2
1755_1759,idaho,2
1755_1759,kingston,15
1755_1759,louisiana,1
1755_1759,madras,1
1755_1759,maine,20
1755_1759,malaya,1
1755_1759,manipur,1
1755_1759,maryland,10
1755_1759,miami,2
1755_1759,mobile,2
1755_1759,navajo,1
1755_1759,new england,15
1755_1759,new haven,6
1755_1759,new jersey,5
1755_1759,new orleans,1
1755_1759,new york,64
1755_1759,newfoundland,17
1755_1759,north carolina,4
1755_1759,nova scotia,3
1755_1759,ontario,2
1755_1759,ottawa,1
1755_1759,penang,1
1755_1759,philadelphia,23
1755_1759,pondicherry,1
1755_1759,poona,1
1755_1759,quebec,4
1755_1759,raleigh,1
1755_1759,rhode island,5
1755_1759,seattle,2
1755_1759,silk,24
1755_1759,south carolina,87
1755_1759,st lucia,1
1755_1759,surat,3
1755_1759,tobago,2
1755_1759,vermont,2
1755_1759,virginia,68
1755_1759,yazoo,1
1760_1764,accra,1
1760_1764,ajmer,1
1760_1764,alaska,2
1760_1764,alexandria,3
1760_1764,arizona,1
1760_1764,austin,1
1760_1764,bahamas,3
1760_1764,baltimore,1
1760_1764,barbados,27
1760_1764,baroda,1
1760_1764,belize,1
1760_1764,bengal,5
1760_1764,bihar,2
1760_1764,boston,11
1760_1764,calcutta,1
1760_1764,calicut,1
1760_1764,carrier,3
1760_1764,cascades,1
1760_1764,cayes,6
1760_1764,charlotte,7
1760_1764,cleveland,3
1760_1764,connecticut,1
1760_1764,dallas,5
1760_1764,delaware,3
1760_1764,delhi,5
1760_1764,denver,1
1760_1764,dominica,1
1760_1764,florida,50
1760_1764,frankfort,1
1760_1764,gambia,3
1760_1764,ganges,1
1760_1764,granada,4
1760_1764,grenada,5
1760_1764,halifax,7
1760_1764,honduras,42
1760_1764,hurling,1
1760_1764,idaho,2
1760_1764,indiana,1
1760_1764,kansas,1
1760_1764,kentucky,1
1760_1764,kingston,3
1760_1764,louisiana,10
1760_1764,madras,1
1760_1764,maine,43
1760_1764,maryland,26
1760_1764,miami,3
1760_1764,mobile,4
1760_1764,montreal,5
1760_1764,new england,24
1760_1764,new orleans,1
1760_1764,new york,83
1760_1764,newfoundland,20
1760_1764,niagara,1
1760_1764,niger,15
1760_1764,north carolina,3
1760_1764,nova scotia,2
1760_1764,ontario,2
1760_1764,orissa,1
1760_1764,paiute,1
1760_1764,pennsylvania,6
1760_1764,pensacola,2
1760_1764,philadelphia,37
1760_1764,pondicherry,2
1760_1764,quebec,53
1760_1764,rhode island,1
1760_1764,seattle,1
1760_1764,silk,59
1760_1764,sokoto,1
1760_1764,south carolina,42
1760_1764,surat,2
1760_1764,texas,2
1760_1764,tobago,2
1760_1764,trinidad,1
1760_1764,varanasi,1
1760_1764,vermont,1
1760_1764,virginia,129
1765_1769,alabama,1
1765_1769,bahamas,1
1765_1769,baltimore,1
1765_1769,barbados,13
1765_1769,bengal,8
1765_1769,bennington,1
1765_1769,boise,2
1765_1769,boston,4
1765_1769,calabar,1
1765_1769,calcutta,1
1765_1769,calgary,1
1765_1769,calicut,1
1765_1769,california,1
1765_1769,carrier,4
1765_1769,cayes,4
1765_1769,charlotte,4
1765_1769,dallas,2
1765_1769,delaware,3
1765_1769,delhi,3
1765_1769,dominica,10
1765_1769,florida,31
1765_1769,gambia,2
1765_1769,ganges,2
1765_1769,grenada,7
1765_1769,guiana,1
1765_1769,halifax,5
1765_1769,honduras,63
1765_1769,idaho,2
1765_1769,illinois,5
1765_1769,indore,1
1765_1769,mackenzie,1
1765_1769,madras,2
1765_1769,maine,26
1765_1769,maryland,7
1765_1769,miami,2
1765_1769,mobile,25
1765_1769,montreal,2
1765_1769,new england,13
1765_1769,new orleans,6
1765_1769,new york,41
1765_1769,newfoundland,16
1765_1769,niagara,1
1765_1769,niger,1
1765_1769,north carolina,8
1765_1769,nova scotia,1
1765_1769,pennsylvania,1
1765_1769,pensacola,11
1765_1769,philadelphia,5
1765_1769,quebec,23
1765_1769,regina,1
1765_1769,seattle,1
1765_1769,silk,34
1765_1769,south carolina,12
1765_1769,st lucia,3
1765_1769,tanjore,1
1765_1769,texas,1
1765_1769,tobago,9
1765_1769,trinidad,3
1765_1769,vermont,2
1765_1769,virginia,16
1770_1774,acadia,1
1770_1774,acton,2
1770_1774,alaska,1
1770_1774,arizona,2
1770_1774,atlanta,2
1770_1774,austin,2
1770_1774,bahamas,2
1770_1774,baltimore,1
1770_1774,barbados,4
1770_1774,bengal,4
1770_1774,boston,3
1770_1774,camden,1
1770_1774,carrier,1
1770_1774,cayes,2
1770_1774,charlotte,5
1770_1774,cleveland,1
1770_1774,dallas,1
1770_1774,delhi,4
1770_1774,denver,1
1770_1774,dominica,8
1770_1774,florida,109
1770_1774,granada,8
1770_1774,grenada,25
1770_1774,guiana,1
1770_1774,halifax,5
1770_1774,hartford,1
1770_1774,honduras,34
1770_1774,hubli,1
1770_1774,hurling,1
1770_1774,idaho,3
1770_1774,illinois,1
1770_1774,indiana,1
1770_1774,kingston,1
1770_1774,labrador,1
1770_1774,madras,1
1770_1774,maine,28
1770_1774,maryland,3
1770_1774,miami,1
1770_1774,mobile,4
1770_1774,montana,2
1770_1774,nashville,1
1770_1774,new england,2
1770_1774,new haven,4
1770_1774,new orleans,12
1770_1774,new york,18
1770_1774,newfoundland,4
1770_1774,niagara,1
1770_1774,niger,1
1770_1774,north carolina,1
1770_1774,orissa,1
1770_1774,patna,1
1770_1774,pennsylvania,1
1770_1774,pensacola,8
1770_1774,philadelphia,5
1770_1774,quebec,2
1770_1774,raleigh,4
1770_1774,regina,3
1770_1774,rhode island,1
1770_1774,silk,18
1770_1774,south carolina,20
1770_1774,texas,2
1770_1774,tobago,9
1770_1774,vermont,1
1770_1774,virginia,19
1775_1779,acadia,3
1775_1779,acton,4
1775_1779,alaska,1
1775_1779,alexandria,1
1775_1779,ambala,1
1775_1779,arizona,3
1775_1779,atlanta,3
1775_1779,austin,9
1775_1779,bahamas,2
1775_1779,baltimore,7
1775_1779,barbados,72
1775_1779,belize,1
1775_1779,bengal,11
1775_1779,benue,1
1775_1779,boise,3
1775_1779,boston,63
1775_1779,calabar,2
1775_1779,calcutta,3
1775_1779,calgary,1
1775_1779,calicut,1
1775_1779,camden,2
1775_1779,carrier,8
1775_1779,cascades,1
1775_1779,cayes,7
1775_1779,charlotte,28
1775_1779,chennai,1
1775_1779,cleveland,2
1775_1779,connecticut,2
1775_1779,dallas,2
1775_1779,daman,5
1775_1779,delaware,14
1775_1779,delhi,6
1775_1779,denver,2
1775_1779,detroit,2
1775_1779,dominica,49
1775_1779,edmonton,1
1775_1779,florida,115
1775_1779,fort orange,1
1775_1779,frankfort,1
1775_1779,gambia,1
1775_1779,ganges,18
1775_1779,granada,25
1775_1779,grenada,135
1775_1779,guiana,2
1775_1779,halifax,130
1775_1779,harrisburg,1
1775_1779,hartford,4
1775_1779,honduras,92
1775_1779,houston,8
1775_1779,hubli,2
1775_1779,hurling,5
1775_1779,idaho,3
1775_1779,indiana,3
1775_1779,indore,2
1775_1779,johore,1
1775_1779,kansas,1
1775_1779,kaveri,1
1775_1779,kingston,11
1775_1779,labrador,2
1775_1779,long island,5
1775_1779,louisiana,2
1775_1779,mackenzie,6
1775_1779,madras,9
1775_1779,maine,83
1775_1779,malacca,1
1775_1779,maryland,23
1775_1779,miami,8
1775_1779,mississippi,1
1775_1779,mobile,9
1775_1779,montana,1
1775_1779,montreal,7
1775_1779,nevada,1
1775_1779,new england,29
1775_1779,new haven,5
1775_1779,new jersey,1
1775_1779,new orleans,51
1775_1779,new york,323
1775_1779,newfoundland,93
1775_1779,niagara,2
1775_1779,niger,20
1775_1779,north carolina,25
1775_1779,nova scotia,8
1775_1779,ontario,3
1775_1779,oregon,1
1775_1779,ottawa,2
1775_1779,paiute,1
1775_1779,pennsylvania,4
1775_1779,pensacola,69
1775_1779,philadelphia,119
1775_1779,pondicherry,2
1775_1779,poona,1
1775_1779,quebec,60
1775_1779,raleigh,6
1775_1779,regina,2
1775_1779,rhode island,13
1775_1779,sacramento,1
1775_1779,seattle,1
1775_1779,silk,31
1775_1779,south carolina,598
1775_1779,srinagar,1
1775_1779,st louis,3
1775_1779,st lucia,11
1775_1779,sudbury,1
1775_1779,surat,2
1775_1779,texas,4
1775_1779,tobago,74
1775_1779,topeka,1
1775_1779,toronto,4
1775_1779,tucson,1
1775_1779,united states of america,4
1775_1779,vermont,4
1775_1779,virginia,98
1775_1779,west florida,1
1775_1779,yukon,1
1780_1784,accra,1
1780_1784,acton,3
1780_1784,alaska,1
1780_1784,alexandria,3
1780_1784,ambala,1
1780_1784,arizona,4
1780_1784,atlanta,4
1780_1784,bahamas,12
1780_1784,baltimore,6
1780_1784,barbados,132
1780_1784,benares,2
1780_1784,bengal,17
1780_1784,bhopal,1
1780_1784,bihar,1
1780_1784,biloxi,1
1780_1784,boston,13
1780_1784,calcutta,4
1780_1784,calgary,1
1780_1784,calicut,1
1780_1784,camden,1
1780_1784,carrier,4
1780_1784,cayes,20
1780_1784,ceylon,1
1780_1784,charlotte,8
1780_1784,chicago,3
1780_1784,cincinnati,1
1780_1784,colombo,2
1780_1784,connecticut,2
1780_1784,dallas,3
1780_1784,daman,4
1780_1784,delaware,3
1780_1784,delhi,4
1780_1784,denver,1
1780_1784,dominica,5
1780_1784,edmonton,1
1780_1784,florida,22
1780_1784,fort william,1
1780_1784,frankfort,1
1780_1784,gambia,2
1780_1784,ganges,11
1780_1784,granada,4
1780_1784,grenada,55
1780_1784,halifax,27
1780_1784,hartford,4
1780_1784,honduras,36
1780_1784,hubli,1
1780_1784,hurling,1
1780_1784,idaho,2
1780_1784,indiana,1
1780_1784,indore,1
1780_1784,kingston,6
1780_1784,long island,1
1780_1784,louisiana,1
1780_1784,mackenzie,2
1780_1784,madras,8
1780_1784,maine,67
1780_1784,malacca,1
1780_1784,maryland,19
1780_1784,miami,8
1780_1784,mobile,4
1780_1784,montana,1
1780_1784,montreal,2
1780_1784,nevada,2
1780_1784,new england,25
1780_1784,new haven,1
1780_1784,new jersey,5
1780_1784,new mexico,1
1780_1784,new orleans,25
1780_1784,new york,148
1780_1784,newfoundland,42
1780_1784,niger,10
1780_1784,north carolina,3
1780_1784,nova scotia,8
1780_1784,ontario,2
1780_1784,oregon,1
1780_1784,paiute,1
1780_1784,pennsylvania,2
1780_1784,pensacola,15
1780_1784,philadelphia,48
1780_1784,pondicherry,4
1780_1784,poona,1
1780_1784,quebec,33
1780_1784,raleigh,1
1780_1784,regina,2
1780_1784,rhode island,2
1780_1784,seattle,3
1780_1784,silk,32
1780_1784,south carolina,78
1780_1784,st louis,1
1780_1784,st lucia,54
1780_1784,surat,1
1780_1784,texas,1
1780_1784,tobago,82
1780_1784,trincomalee,1
1780_1784,trinidad,5
1780_1784,tripura,1
1780_1784,united states of america,27
1780_1784,vermont,1
1780_1784,virginia,43
1785_1789,arizona,1
1785_1789,bahamas,4
1785_1789,baltimore,3
1785_1789,barbados,6
1785_1789,belize,1
1785_1789,bengal,14
1785_1789,boston,4
1785_1789,calcutta,6
1785_1789,calicut,2
1785_1789,camden,4
1785_1789,carrier,3
1785_1789,cayes,5
1785_1789,charlotte,2
1785_1789,daman,1
1785_1789,delhi,5
1785_1789,denver,1
1785_1789,dominica,9
1785_1789,florida,7
1785_1789,gambia,5
1785_1789,ganges,7
1785_1789,grenada,9
1785_1789,guiana,1
1785_1789,halifax,6
1785_1789,honduras,1
1785_1789,houston,1
1785_1789,hurling,2
1785_1789,idaho,2
1785_1789,indore,1
1785_1789,jaipur,1
1785_1789,kentucky,1
1785_1789,kingston,2
1785_1789,louisiana,1
1785_1789,lucknow,2
1785_1789,mackenzie,3
1785_1789,madras,2
1785_1789,maine,26
1785_1789,maryland,4
1785_1789,miami,1
1785_1789,missouri,2
1785_1789,mobile,1
1785_1789,nevada,1
1785_1789,new brunswick,1
1785_1789,new calabar,1
1785_1789,new england,4
1785_1789,new hampshire,2
1785_1789,new orleans,4
1785_1789,new york,13
1785_1789,newfoundland,2
1785_1789,niger,4
1785_1789,north carolina,1
1785_1789,ontario,2
1785_1789,oregon,1
1785_1789,patna,1
1785_1789,pennsylvania,2
1785_1789,pensacola,2
1785_1789,philadelphia,12
1785_1789,quebec,1
1785_1789,regina,7
1785_1789,rhode island,1
1785_1789,sierra leone,1
1785_1789,silk,28
1785_1789,south carolina,16
1785_1789,st lucia,1
1785_1789,sudbury,1
1785_1789,texas,2
1785_1789,tobago,20
1785_1789,united states of america,14
1785_1789,vermont,11
1785_1789,virginia,12
1790_1794,accra,2
1790_1794,atlanta,2
1790_1794,austin,3
1790_1794,bahamas,5
1790_1794,baltimore,8
1790_1794,barbados,2
1790_1794,benares,1
1790_1794,bengal,27
1790_1794,bihar,2
1790_1794,boston,4
1790_1794,calcutta,2
1790_1794,calicut,2
1790_1794,camden,7
1790_1794,carrier,4
1790_1794,cayes,5
1790_1794,ceylon,3
1790_1794,charlotte,1
1790_1794,dallas,4
1790_1794,delaware,1
1790_1794,delhi,5
1790_1794,denver,1
1790_1794,dominica,3
1790_1794,edmonton,1
1790_1794,florida,1
1790_1794,frankfort,3
1790_1794,ganges,8
1790_1794,granada,5
1790_1794,grenada,2
1790_1794,guiana,1
1790_1794,halifax,6
1790_1794,hartford,2
1790_1794,honduras,6
1790_1794,houston,2
1790_1794,idaho,1
1790_1794,illinois,1
1790_1794,kansas,2
1790_1794,kentucky,5
1790_1794,kingston,5
1790_1794,louisiana,2
1790_1794,mackenzie,3
1790_1794,madras,9
1790_1794,madura,1
1790_1794,maine,30
1790_1794,malacca,3
1790_1794,maryland,6
1790_1794,miami,3
1790_1794,mobile,2
1790_1794,mysore,1
1790_1794,nevada,1
1790_1794,new orleans,24
1790_1794,new york,7
1790_1794,newfoundland,4
1790_1794,niagara,1
1790_1794,niger,3
1790_1794,oregon,1
1790_1794,orissa,1
1790_1794,patna,1
1790_1794,pennsylvania,1
1790_1794,philadelphia,10
1790_1794,pondicherry,11
1790_1794,quebec,6
1790_1794,raleigh,2
1790_1794,regina,2
1790_1794,sierra leone,2
1790_1794,silk,40
1790_1794,south carolina,14
1790_1794,tanjore,2
1790_1794,texas,1
1790_1794,tobago,1
1790_1794,topeka,1
1790_1794,toronto,1
1790_1794,united states of america,9
1790_1794,virginia,6
1795_1799,abuja,1
1795_1799,acadia,1
1795_1799,accra,2
1795_1799,acton,1
1795_1799,alabama,2
1795_1799,alexandria,7
1795_1799,ambala,3
1795_1799,arizona,2
1795_1799,assam,1
1795_1799,atlanta,1
1795_1799,austin,2
1795_1799,bahamas,9
1795_1799,baltimore,15
1795_1799,barbados,40
1795_1799,belize,3
1795_1799,benares,1
1795_1799,bengal,85
1795_1799,bihar,2
1795_1799,biloxi,1
1795_1799,boise,5
1795_1799,boston,9
1795_1799,calcutta,8
1795_1799,calgary,1
1795_1799,camden,2
1795_1799,carrier,2
1795_1799,cayes,9
1795_1799,ceylon,3
1795_1799,charlotte,12
1795_1799,cleveland,1
1795_1799,colombo,4
1795_1799,dallas,2
1795_1799,deccan,1
1795_1799,delaware,2
1795_1799,delhi,6
1795_1799,denver,2
1795_1799,detroit,3
1795_1799,dominica,6
1795_1799,edmonton,2
1795_1799,florida,7
1795_1799,frankfort,2
1795_1799,gambia,3
1795_1799,ganges,3
1795_1799,granada,2
1795_1799,grenada,12
1795_1799,guiana,1
1795_1799,halifax,23
1795_1799,hartford,3
1795_1799,honduras,6
1795_1799,houston,3
1795_1799,hubli,1
1795_1799,idaho,6
1795_1799,illinois,1
1795_1799,indiana,3
1795_1799,indore,1
1795_1799,kansas,3
1795_1799,kingston,9
1795_1799,labrador,2
1795_1799,lansing,2
1795_1799,louisville,1
1795_1799,madras,19
1795_1799,maine,51
1795_1799,maryland,37
1795_1799,miami,6
1795_1799,michigan,1
1795_1799,mobile,8
1795_1799,new brunswick,1
1795_1799,new orleans,9
1795_1799,new york,34
1795_1799,newfoundland,15
1795_1799,niagara,1
1795_1799,niger,2
1795_1799,north carolina,1
1795_1799,nova scotia,2
1795_1799,ontario,1
1795_1799,oregon,2
1795_1799,ottawa,1
1795_1799,paiute,1
1795_1799,patna,1
1795_1799,penang,1
1795_1799,pensacola,1
1795_1799,philadelphia,24
1795_1799,pondicherry,1
1795_1799,quebec,7
1795_1799,raleigh,5
1795_1799,regina,2
1795_1799,san francisco,2
1795_1799,seattle,1
1795_1799,sierra leone,1
1795_1799,silk,53
1795_1799,south carolina,5
1795_1799,st lucia,3
1795_1799,sudbury,6
1795_1799,surat,5
1795_1799,texas,2
1795_1799,tobago,10
1795_1799,toronto,1
1795_1799,trincomalee,1
1795_1799,trinidad,10
1795_1799,tucson,1
1795_1799,united states of america,31
1795_1799,vermont,1
1795_1799,virginia,27
1800_1804,alberta,1
1800_1804,alexandria,1
1800_1804,ambala,1
1800_1804,austin,1
1800_1804,baltimore,3
